customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-08-16
2,김정호,F,32,대구,2025-12-30
3,이경수,F,61,성남,2024-08-09
4,조영호,F,55,울산,2026-06-10
5,이예원,F,19,부산,2024-11-10
6,김지원,F,32,성남,2026-08-24
7,이상현,F,53,인천,2025-02-08
8,이성호,M,32,수원,2025-02-20
9,송지민,M,69,서울,2025-12-16
10,유도현,F,62,울산,2024-12-03
11,강채원,M,35,대구,2026-02-17
12,김정남,F,66,대전,2024-11-27
13,고채원,F,23,울산,2025-04-17
14,윤성호,F,40,대전,2025-04-02
15,장정식,M,69,서울,2026-08-01
16,강보람,M,52,부산,2024-09-19
17,이현준,M,23,성남,2026-05-26
18,김순옥,M,58,고양,2023-11-30
19,김성수,M,54,인천,2024-10-24
20,백영호,F,20,인천,2025-01-05
21,박중수,M,23,인천,2026-05-30
22,이상호,F,42,광주,2026-01-24
23,신영자,M,58,대전,2026-02-27
24,김현준,F,41,대전,2025-11-04
25,권준호,F,60,광주,2024-04-29
26,안영자,F,56,대구,2023-12-12
27,최영수,F,28,수원,2024-09-29
28,고경숙,M,35,성남,2024-02-29
29,박수민,F,61,대전,2026-05-27
30,이민재,F,32,서울,2023-09-10
31,양수민,M,43,광주,2025-10-21
32,박미숙,F,31,고양,2026-05-03
33,윤우진,M,31,수원,2024-04-29
34,김진호,M,59,수원,2025-12-06
35,최예지,F,34,대구,2024-02-25
36,양지현,F,65,성남,2024-12-25
37,김영호,M,65,고양,2024-01-05
38,박도윤,M,55,울산,2025-12-10
39,김예은,M,32,대구,2026-01-06
40,박예준,M,23,서울,2024-07-30
41,권정순,F,27,대구,2025-01-01
42,장성호,M,56,부산,2025-11-17
43,김도윤,M,42,고양,2023-10-07
44,김서윤,M,51,광주,2023-12-24
45,김명자,F,61,부산,2023-10-23
46,김서현,M,67,대전,2026-07-10
47,박정웅,F,36,울산,2026-02-08
48,김예은,F,47,서울,2025-05-29
49,김시우,M,50,대구,2025-06-24
50,문도윤,F,58,광주,2026-06-16
51,김영순,F,27,대전,2025-02-13
52,김서연,F,52,성남,2025-12-16
53,이서준,F,56,대전,2024-09-27
54,김지원,M,19,부산,2026-01-06
55,윤영철,M,69,광주,2023-09-27
56,남지혜,F,21,인천,2024-05-20
57,박준호,F,23,수원,2023-12-05
58,김성훈,F,66,성남,2025-08-11
59,한정웅,F,26,수원,2026-01-15
60,박서연,F,34,성남,2024-08-08
61,최유진,M,31,성남,2025-01-04
62,최영일,F,63,광주,2025-12-08
63,성도현,M,60,대전,2024-06-19
