customer_id,name,city,order_count,total_sales,avg_order_value
102,이진호,고양,5,5977000,1195400.0
117,김지원,성남,6,5552000,925333.0
83,전은경,수원,5,4951000,990200.0
142,하서연,서울,3,4862000,1620667.0
40,박예준,서울,5,4857000,971400.0
30,이민재,서울,7,4853000,693286.0
3,이경수,성남,3,4668000,1556000.0
14,윤성호,대전,3,4267000,1422333.0
146,김숙자,성남,3,4108000,1369333.0
111,류정훈,광주,4,4067000,1016750.0
138,이정훈,대구,4,4006000,1001500.0
144,김정자,광주,3,3882000,1294000.0
65,손상호,인천,4,3784000,946000.0
149,김정자,부산,4,3564000,891000.0
87,유서현,울산,4,3547000,886750.0
24,김현준,대전,6,3465000,577500.0
129,김춘자,대구,2,3435000,1717500.0
105,김승현,광주,4,3366000,841500.0
21,박중수,인천,4,3309000,827250.0
57,박준호,수원,3,3300000,1100000.0
114,손영환,성남,5,3280000,656000.0
71,박미정,수원,2,3215000,1607500.0
20,백영호,인천,2,3191000,1595500.0
38,박도윤,울산,3,3189000,1063000.0
126,김정수,서울,4,3148000,787000.0
66,김재호,서울,4,3093000,773250.0
136,김은주,대구,3,3078000,1026000.0
6,김지원,성남,3,3039000,1013000.0
147,이정남,부산,2,2990000,1495000.0
18,김순옥,고양,3,2960000,986667.0
125,이지후,수원,4,2824000,706000.0
60,박서연,성남,2,2812000,1406000.0
145,조정호,성남,4,2799000,699750.0
106,배은정,부산,3,2754000,918000.0
12,김정남,대전,3,2739000,913000.0
110,이정숙,부산,2,2724000,1362000.0
8,이성호,수원,3,2626000,875333.0
98,최성현,인천,5,2569000,513800.0
95,이은주,성남,3,2424000,808000.0
73,정성민,수원,2,2415000,1207500.0
56,남지혜,인천,3,2411000,803667.0
107,전성수,고양,3,2397000,799000.0
32,박미숙,고양,2,2389000,1194500.0
77,김은주,서울,3,2381000,793667.0
128,전성훈,고양,2,2330000,1165000.0
37,김영호,고양,3,2294000,764667.0
84,김성호,성남,2,2282000,1141000.0
116,권종수,부산,4,2275000,568750.0
137,김선영,울산,3,2210000,736667.0
113,박준혁,성남,3,2188000,729333.0
135,박하윤,대구,2,2170000,1085000.0
34,김진호,수원,2,2139000,1069500.0
16,강보람,부산,2,2058000,1029000.0
5,이예원,부산,2,2004000,1002000.0
130,김성현,대전,2,1942000,971000.0
26,안영자,대구,2,1935000,967500.0
23,신영자,대전,1,1931000,1931000.0
33,윤우진,수원,2,1913000,956500.0
104,장순옥,광주,3,1910000,636667.0
103,장미정,인천,2,1874000,937000.0
62,최영일,광주,4,1868000,467000.0
43,김도윤,고양,1,1863000,1863000.0
47,박정웅,울산,4,1856000,464000.0
64,김준호,수원,2,1853000,926500.0
90,문지원,울산,3,1831000,610333.0
78,김하은,울산,3,1829000,609667.0
49,김시우,대구,2,1747000,873500.0
132,배예지,부산,2,1734000,867000.0
63,성도현,대전,2,1675000,837500.0
31,양수민,광주,2,1665000,832500.0
50,문도윤,광주,2,1620000,810000.0
122,김준호,울산,3,1592000,530667.0
108,최재호,성남,3,1591000,530333.0
13,고채원,울산,1,1549000,1549000.0
139,하승현,서울,1,1508000,1508000.0
86,최준호,수원,2,1501000,750500.0
93,류준호,대전,2,1460000,730000.0
96,홍순옥,성남,3,1452000,484000.0
121,손영자,서울,2,1445000,722500.0
123,김재현,서울,1,1436000,1436000.0
68,이정남,서울,3,1398000,466000.0
25,권준호,광주,1,1381000,1381000.0
81,최영자,울산,1,1364000,1364000.0
39,김예은,대구,1,1298000,1298000.0
148,오도현,고양,2,1296000,648000.0
27,최영수,수원,3,1242000,414000.0
141,김진호,광주,1,1241000,1241000.0
41,권정순,대구,1,1229000,1229000.0
7,이상현,인천,1,1173000,1173000.0
115,이민재,부산,1,1173000,1173000.0
72,양영미,대구,2,1164000,582000.0
9,송지민,서울,2,1132000,566000.0
133,김성진,성남,1,1098000,1098000.0
19,김성수,인천,1,1078000,1078000.0
119,송정남,대전,1,1064000,1064000.0
58,김성훈,성남,1,1059000,1059000.0
131,곽영자,인천,1,1038000,1038000.0
140,권광수,인천,2,1029000,514500.0
53,이서준,대전,1,1001000,1001000.0
124,김시우,대구,2,1000000,500000.0
76,김수빈,울산,1,996000,996000.0
70,엄현준,성남,1,924000,924000.0
15,장정식,서울,2,912000,456000.0
28,고경숙,성남,1,881000,881000.0
61,최유진,성남,1,870000,870000.0
99,나민석,고양,1,860000,860000.0
55,윤영철,광주,1,837000,837000.0
92,김지은,서울,2,825000,412500.0
134,오지현,대구,1,776000,776000.0
59,한정웅,수원,1,772000,772000.0
4,조영호,울산,1,603000,603000.0
35,최예지,대구,1,556000,556000.0
112,송민재,성남,3,532000,177333.0
22,이상호,광주,1,512000,512000.0
36,양지현,성남,1,471000,471000.0
91,한성훈,인천,2,456000,228000.0
51,김영순,대전,2,451000,225500.0
75,양상훈,울산,1,431000,431000.0
143,김예은,대전,1,348000,348000.0
118,김선영,광주,1,344000,344000.0
11,강채원,대구,2,286000,143000.0
127,이영철,대구,1,284000,284000.0
44,김서윤,광주,1,147000,147000.0
69,남진우,서울,2,130000,65000.0
80,김현우,인천,1,118000,118000.0
120,하춘자,광주,1,33000,33000.0
